,MemStartDate,AllStartDate,MemEndDate,AllEndDate,version4id,ccode,state_name,ss_type,left_censor,right_censor,defense,neutrality,nonaggression,entente,version
49,1833-08-07 00:00:00,1833-07-08 00:00:00,1841-07-13 00:00:00,1841-07-13 00:00:00,14,640,Turkey,Type I: Defense Pact,0.0,0,1,0,0.0,1.0,4.1
50,1833-10-15 00:00:00,1833-09-18 00:00:00,1853-07-02 00:00:00,1853-07-02 00:00:00,15,255,Germany,Type III: Entente,0.0,0,0,0,0.0,1.0,4.1
51,1833-09-18 00:00:00,1833-09-18 00:00:00,1853-07-02 00:00:00,1853-07-02 00:00:00,15,300,Austria-Hungary,Type III: Entente,0.0,0,0,0,0.0,1.0,4.1
52,1833-09-18 00:00:00,1833-09-18 00:00:00,1853-07-02 00:00:00,1853-07-02 00:00:00,15,365,Russia,Type III: Entente,0.0,0,0,0,0.0,1.0,4.1
53,1833-09-19 00:00:00,1833-09-19 00:00:00,1853-07-02 00:00:00,1853-07-02 00:00:00,16,300,Austria-Hungary,Type I: Defense Pact,0.0,0,1,0,0.0,1.0,4.1
54,1833-09-19 00:00:00,1833-09-19 00:00:00,1853-07-02 00:00:00,1853-07-02 00:00:00,16,365,Russia,Type I: Defense Pact,0.0,0,1,0,0.0,1.0,4.1
55,1833-10-15 00:00:00,1833-10-15 00:00:00,1848-03-21 00:00:00,1848-03-21 00:00:00,17,255,Germany,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
56,1833-10-15 00:00:00,1833-10-15 00:00:00,1848-03-21 00:00:00,1848-03-21 00:00:00,17,300,Austria-Hungary,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
57,1833-10-15 00:00:00,1833-10-15 00:00:00,1848-03-21 00:00:00,1848-03-21 00:00:00,17,365,Russia,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
58,1833-10-16 00:00:00,1833-10-16 00:00:00,1848-03-21 00:00:00,1848-03-21 00:00:00,18,255,Germany,Type I: Defense Pact,0.0,0,1,0,0.0,1.0,4.1
